題號,題目,答案,圖片連結
153,"Taipei is in the n___h of Taiwan.","north",""
154,"There is a w__r going on between Israel and Iran.","war",""
155,"Jonathan is a___d of dark. He thinks there are monsters hiding inside it.","afraid",""
156,"I don't have e___h money to buy the toy. I still need five hundred dollars.","enough",""
157,"Perry doesn't like to eat v___s. He likes to eat meat.","vegetables",""
158,"Thomas' mother only smiles at him when he gets good g___s at school.","grades",""
159,"On Lucy's birthday, her father o___s a big meal to celebrate.","orders",""
160,"It might rain in the afternoon, so don't forget to bring an u___a.","umbrella",""
161,"You have to study h___d to get good grades.","hard",""
162,"The food in the restaurant tastes d___s.","delicious",""
163,"Seth got hit by the car b____e the driver was drunk-driving.","because",""
164,"There is a stranger standing o____e the house. Be careful.","outside",""
165,"There are some c___n playing in the park.","children",""
166,"Wilson lives in a small v____e with his grandfather.","village",""
167,"Remember to bathe the dog in the t__b once every two weeks.","tub",""
168,"Aurora didn't t___w away the trash last night, so she got punished by her father.","throw",""
169,"You are not allowed to p__k flowers in the park.","pick",""
170,"It's cold outside. P__t on the jacket before you go out.","put",""
171,"It's dark in here. Please t__n on the lights.","turn",""
172,"Don't forget to turn o__f the lights before you go out.","off",""
173,"Your clothes are dirty. Please t__e them off.","take",""
174,"Put the trash into the trash c__n.","can",""
175,"There is too much t__h on the ground. Please pick them up.","trash",""
176,"There is a f__n on the ceiling. You can turn it on if it's too hot.","fan",""
177,"The room is so d__k. There is no light.","dark",""
178,"Don't forget to turn off the l___s before you leave the room.","lights",""
179,"There is snow e___e. Let's build a snowman.","everywhere",""
180,"Lance puts the scarf around his n__k because it's really cold outside.","neck",""
181,"People sometimes give a__y free food to help the poor.","away",""
182,"Iris forgets to give b___k the book she borrowed from the library.","back",""
183,"When you're taking a test, please w___e down your answers on the paper.","write",""
184,"My grandfather forgot to b___w out the candle and nearly caused the fire.","blow",""
185,"It's Audrey's eighteenth birthday. There are eighteen c____s on her birthday cake.","candles",""
186,"What is your n___e? You can call me Steven.","name",""
187,"What is your phone n___r? It's 0987-654-321.","number",""
188,"Where do you live? Can you give me your a____s?","address",""
189,"Sheldon asks his mother to pick him up b__y evening.","by",""
190,"The l___e ducks are following their mother.","little",""
191,"Although chickens have w___s, they can't fly.","wings",""
192,"Renolds tries to s___e his brother by suddenly yelling, but it doesn't work.","scare",""
193,"My grandparents loves to watch Chinese TV p___s at night.","programs",""
194,"My mother chats with n___r every day. They talk about everything.","neighbor",""
195,"It could be dangerous to chat on the I______t because you may not know who you are really talking to.","Internet",""
196,"After the chubby man sat on the s___w, it was broken into half.","seesaw",""
197,"Every time Tyrion plays on the s___g, he asks his father to push him higher.","swing",""
198,"There are some children r___________g-r____________g in the park. Be careful when you walk near them.","roller-skating",""
199,"When you go i_________g-i_________g, don't forget to put on some clothes because it could be cold.","ice-skating",""
200,"If Podrick doesn't go to bed n__w, he won't be able to wake up early tomorrow.","now",""
201,"Joffrey w___s that he can become the king when he grows up.","wishes",""
202,"My mother m__s me do my homework now. I don't want to do it, but I have no choice.","makes",""
203,"Every Christmas, Santa Claus rides on the s___d with his reindeers and gives away gifts.","sled",""
204,"Wayne likes to play the g__r in his free time, but his brother thinks it's noisy.","guitar",""
205,"Every time Galahad p___s playing the trumpet, his neighbor comes knocking on his door to make him stop.","practices",""
206,"Diane practices b___n every day because she wants to better at it.","badminton",""
207,"Kimberly practices table t___s every day because she wants to be the best in her class.","tennis",""
208,"In the USA and Australia, playing f___l is very popular.","football",""
209,"Eric really e___s watching movies in his free time.","enjoys",""
210,"The teacher asked the students to f___h their homework in thirty minutes.","finish",""
211,"Humphrey's father tells him to stop laughing, but he k___s doing it.","keeps",""
212,"On Christmas Eve, the adults will dress up as S___a and give the kids presents.","Santa",""
213,"The kids are told to put a s___g in front of their bed in Christmas Eve, and their parents will put the gifts inside it.","stocking",""
214,"The principle didn't come to school today because she had a car a___t on her way to work.","accident",""
215,"Tobey was hit by the b___y in his class today, and his parent were angry about it.","bully",""
216,"The police officer are looking for anyone who saw the r____y at the bank this morning.","robbery",""
217,"'Call 119! The house is on f__e!' Lupin yelled.","fire",""
218,"When Bradford came home from work, he saw a t___f running out his house and called 110.","thief",""
219,"Andy goes to the bank to get some m___y.","money",""
220,"Ten minutes later, the p___e officers comes and saves the old lady.","police",""
221,"The teacher tells the naughty boy if he doesn't say sorry, she will tell his p____s.","parents",""
222,"Please don't t___h the stray animals. They could attack you.","touch",""
223,"Remember to turn off the fan w__n you leave the room.","when",""
224,"Some people say that Michael Jordan is the best basketball player e__r.","ever",""
225,"It's m___t. Please go to bed now, or you will be late tomorrow.","midnight",""
226,"There are a___t twenty kids on the playground.","about",""
227,"The thief steals from a lot of people. He e__n hits an old lady and took her bag.","even",""
228,"Every student in the class s___d follow the class rules.","should",""
229,"Larry really loves French f___s. He wants to drink it every day.","fries",""
230,"Iverson w___d like to have steak for lunch.","would",""
231,"Please don't play with the f__d on your plate. It's impolite.","food",""
232,"Helen feels hungry, but it's not dinner time yet. So, she eats some s___s.","snacks",""
233,"Most of the kids don't want b___s for lunch, but it's healthy for them.","beans",""
234,"Jolyne is going to be late, so she only has t___t for breakfast.","toast",""
235,"There's a new Italian restaurant. You should try its s___i.","spaghetti",""
236,"Benson has a pet mouse. He always feeds it with c___e.","cheese",""
237,"Roxanne is mad because her neighbors are making loud n___s again.","noises",""
238,"Do you hear it? That is the s___d of a bird.","sound",""
239,"How would you like your steak? I would want it r__e.","rare",""
240,"My father wants his steak m___m. It's not too raw, but not too hard to bite.","medium",""
241,"The customer is mad because he wanted his steak medium, but it is served well-d__e.","done",""
242,"w____d made the flowers grow with magic.","wizard",""
243,"The superhero used his p___r to save the city.","power",""
244,"Oscar loves science. He wants to be a s______t when he grows up.","scientist",""
245,"She works as a c__k in a restaurant.","cook",""
246,"The w____r wrote an interesting book. It sold very well.","writer",""
247,"It's time to g__w u__p. You're not a kid anymore.","grow up",""
248,"He had a g___t time at the party with his friends, and he enjoyed the nice music and delicious food.","great",""
249,"We'll l___n to play the guitar tomorrow.","learn",""
250,"She is not h__e right now, but she will be back soon.","here",""
251,"If you eat bad food, you'll b__e sick.","be",""
252,"Something h______d this morning, so Oscar was late for school.","happened",""
253,"Oscar was l__e for school because he got on the wrong bus.","late",""
254,"Because Oscar g__t o__n the wrong bus, he was late for school this morning.","got on",""
255,"Oscar got on the wrong bus because he had to l__k a___r his owl's baby.","look after",""
256,"Oscar said that Yolanda was s___y because she thought that Oscar has a baby.","silly",""
257,"Paragraph: Something h______d this morning, so Oscar was _____ for school. (Fill in: happened)","happened",""
258,"Paragraph: Something happened this morning, so Oscar was l__e for school. (Fill in: late)","late",""
259,"Paragraph: He g__t o__n the wrong bus because he had to look after his owl's baby. (Fill in: got on)","got on",""
260,"Paragraph: He got on the wrong bus because he had to l__k a___r his owl's baby. (Fill in: look after)","look after",""
261,"Paragraph: Oscar told Yolanda not to be s___y because she thought that Oscar has a baby. (Fill in: silly)","silly",""
262,"Hey g__s! Please be quiet when the teacher is talking.","guys",""
263,"My brother and I enjoy watching magic shows. We talk about the magic t____s after watching them.","tricks",""
264,"Tell a teacher or call the police when you see anything that look like a b__b.","bomb",""
265,"That tall g__y standing over there is my cousin. He is 190 centimeters tall.","guy",""
266,"Paragraph: There was a spelling c_____t in our school last Sunday. (Fill in: contest)","contest",""
267,"Paragraph: My friend, Cathy, and I studied very hard for it. We practiced spelling all the words with e__h o___r during the break time. (Fill in: each other)","each other",""
268,"Paragraph: On the test day, I was so nervous that I forgot some words. I didn't know what to do so I just g____d. (Fill in: guessed)","guessed",""
269,"Paragraph: After the test, I l____d a__t my report card and felt a little upset. I will study harder next time! (Fill in: looked at)","looked at",""
270,"Dialog: Alex: Why are you standing by the w__l? (Fill in: wall)","wall",""
271,"Dialog: Ben: I'm l_____g a__t the cats over there. (Fill in: looking at)","looking at",""
272,"Dialog: Ben: They are running after e__h o___r and trying to catch a butterfly. (Fill in: each other)","each other",""
273,"Dialog: Alex: Haha! That's f___y! (Fill in: funny)","funny",""
274,"I have three bananas. One is yellow, and the o___rs are green.","others",""
275,"I have two apples. One is green, and the other is g___n.","golden",""
276,"Time to s___p. Sweet dreams.","sleep",""
277,"It's time to go to bed. Sweet d___ms.","dreams",""
278,"There are two cats. One likes to play with a ball, but the o___r doesn't.","other",""
279,"The princess wore a beautiful g___n crown on her head.","golden",""
280,"After a long day of playing, the tired boy went to s___p.","sleep",""
281,"I had a wonderful d___m about flying in the sky like a bird.","dream",""
282,"Last night, a lot of people g_____d at the department store because there was a big sale.","gathered",""
283,"Mary: I can't find my umbrella. Where did you put it? John: Do you see a box on the shelf? I put it in t___e.","there",""
284,"Why not g____r at John's house and have a barbecue tomorrow?","gather",""
285,"The bakery closed early today, so I couldn't buy any bread. I will go t___e again tomorrow.","there",""
286,"We have walked for such a long time. Can we find a place to s__t and rest?","sit",""
287,"Get a chair and s__t down. Let's enjoy some cake and milk tea together.","sit",""
288,"Patty: Don't forget that we will have lunch with May at 11:30 tomorrow. John: Sure. I will see you t__n.","then",""
289,"I need more time to think about the questions. Can you call me next Monday? I will have the answers t__n.","then",""
290,"The n___e is too loud. I can't hear you.","noise",""
291,"Stop making n___e. My ears hurt.","noise",""
292,"It is r____y hot in the room. Can you turn on the fan, please?","really",""
293,"The question is over my head. I don't k__w the answer.","know",""
294,"After Sara got on the train, she turned a____d and waved goodbye to us.","around",""
295,"Art teacher: Do you want this artwork back or can I k__p it? Lisa: I want to bring it home to my sister as her birthday gift.","keep",""
296,"Uncle Ken l__t his left leg in a car accident two years ago.","lost",""
297,"There were so many people on the bus. We couldn't find any seats to sit on, so we had to s___d.","stand",""
298,"That TV program is r____y funny. I want to watch it again.","really",""
299,"Granny says her feet hurt because she s____s for a long time. We should take her to the doctor.","stands",""
300,"The washing machine made a loud noise, I k__w something was wrong. We need to call someone to fix it.","knew",""
301,"Mom: How much is the skirt? The Clerk: It is 489 dollars. Mom: Here's 500, and you can k__p the change.","keep",""
302,"I can't find my keys. I think I l__t them on the train. What should I do?","lost",""
303,"The whole family was sitting a____d grandpa singing 'Happy Birthday'. Each of us brought a gift for him.","around",""
304,"I f____t to buy milk at the store this morning, so I'll go there again later.","forgot",""
305,"I heard a s_____e sound coming from under my bed at night.","strange",""
306,"I felt so scared that I r__n out of my room.","ran",""
307,"I r__d the novel once, and now I'm reading it again.","read",""
308,"The lights are still on i____e the office.","inside",""
309,"Maybe s_____e is there. Let's see who it is.","someone",""
310,"Yesterday was the Balloon Festival. When we lay down on the g____d.","ground",""
311,"We watched the hot air balloons fly into the a__r.","air",""
312,"When I opened the window this morning, it was snowy. e________g was cold and white.","everything",""
313,"A bird flew down and l____d on my hand. I held the bird and kept it warm.","landed",""
314,"When the e_____e hit yesterday, Samuel was practicing his magic.","earthquake",""
315,"Samuel was practicing his magic when the earthquake hit and he made a h__e in the wall.","hole",""
316,"Jolly was cooking in the school kitchen when the earthquake h__t.","hit",""
317,"When Samuel asked Yolanda about the earthquake news on the newspaper, Yolanda asked him not to r__h her.","rush",""
318,"The news about the earthquake in the newspaper s__s: Fire Dragon and Forest Witches Are up to Something.","says",""
319,"It's important to f____w the steps in the recipe when cooking.","follow",""
320,"You did a great job sharing your toys with your friend. That's the r___t way to be kind.","right",""
321,"The music at the party was too l__d for my ears.","loud",""
322,"When we visit the library, we need to be q___t so that others can read their books.","quiet",""
323,"Can you m__e the chair to the other side of the room, please? We need more space.","move",""
324,"Marvin: How f__r does the sports car drive? Peter: Very f__r on the highway! (first blank)","far",""
325,"Frank: How do we get from one classroom to another? Maggie: Easy! Just walk down the h_____y.","hallway",""
326,"Dad: We should look left and right before crossing the road. Nick: Okay, Daddy! Dad: Good boy! Remember, we must always p_____t ourselves.","protect",""
327,"Some monkeys are very smart. They can finish some t___s with practice. For example, they can open a box and take out food, jump through hoops or stand on a ball.","tasks",""
328,"Molly: Hurry up, o__r we will be late for the train. Cathy: Okay! Let's run!","or",""
329,"Eric: I'm having t_____e with this science report. Iris: Really? I thought it was a piece of cake! Eric: Can you please help me? Iris: Sure! Let's go to the library!","trouble",""
330,"Grandma: The sky is getting dark. Maybe you s____d take an umbrella. Lisa: Okay. I'll be back before dinner. Goodbye!","should",""
331,"When I was driving in Australia, I saw some kangaroos h___g by the road.","hopping",""
332,"The teachers went to the restroom to c__k why the children were shouting.","check",""
333,"Please drive faster. I'm in a h___y because I can't be late for my important meeting.","hurry",""
334,"It's raining heavily now. We are so lucky that we found a c__e to hide from the rain.","cave",""
335,"We are going to visit a famous t__n next month. There is a river passing through it and three small gardens in it.","town",""
336,"Our new teacher looks very s__m and short. I think even my sister's uniform may be big enough for her.","slim",""
337,"The boy was scaring the other kids by wearing a g___t mask.","ghost",""
338,"My little brother showed me the picture he drew. It was a m___r with three eyes and long teeth shouting in a cave.","monster",""
339,"My little sister drank a lot of water and needed to use the r___m in math class. She did not want to go by herself because she read a story about a monster at school.","restroom",""
340,"My backpack is empty. There is n___g in it.","nothing",""
341,"Emily is very famous in our town because she looks l___e the famous actress, Amelia Smith.","like",""
342,"I checked my report S_____l times before I handed it to the teacher.","Several",""
343,"Did you go a___e during the vacation?","anywhere",""
344,"Oh my! The basketball player is a__tall as a tree. No one can pass him!","as",""
345,"Did you see the robber? No. It all happened very s___y.","suddenly",""
346,"The weather is weird. It was sunny a minute ago. Then, It turned dark s___y and started raining.","suddenly",""
347,"There is a lot of s__w in the yard. Can we go out and play?","snow",""
348,"There are many animals living in the w___s. We have to protect the place when we camp here.","woods",""
349,"Excuse me. May I use the restroom? Sorry! It is full of toilet p___r, and the toilet needs to be fixed. If you're in a hurry, you can find one in the gas station on the corner.","paper",""
350,"Miss Smith, may I have a piece of p___r? Kevin and I want to play bingo.","paper",""
351,"What will you do this weekend? I'll clean the balcony and the t___t.","toilet",""
352,"Someone who is able to think quickly and have good ideas (s___t)","smart",""
353,"Someone who works very hard and does their work well (h___g)","hard-working",""
354,"Someone who is kind to people and loves to help everyone (f___y)","friendly",""
355,"Liked or enjoyed by a lot of people (p___r)","popular",""
356,"We are lucky to have such f___y neighbors. They help us look after our dog when we are not home and usually share yummy food with us.","friendly",""
357,"This song was very p___r when my parents were students. Many people who are my parents' age know how to sing this song.","popular",""
358,"Ivy is a h___g student. She always reviews all the subjects and finishes her homework after she gets home.","hard-working",""
359,"Brian is very s___t. He always knows the answers in class.","smart",""
360,"I am laughing because my little brother made a funny f___e at me.","face",""
361,"I think the flowers are very p___y. They have different colors and shapes.","pretty",""
362,"I h__t my arm when I was riding a bike.","hurt",""
363,"I like ice cream v___y much. It's so delicious.","very",""
364,"Can I a__k you a question about the homework?","ask",""
365,"Who will l__d the students to the park? I don't think they know how to get there.","lead",""
366,"Who is that p___n standing near the door? He is my cousin.","person",""
367,"Do you and your friend have the s__e favorite color? Yes, we do. We both like blue.","same",""
368,"We went to the h__l for our picnic. It had a great view!","hill",""
369,"The weather was n__e today. It was sunny and warm.","nice",""
370,"What do you c__l your cat? My cat's name is 'Kitty.' It's a cute name.","call",""
371,"How do you keep your room so n__t? I put things back after I use them. And I tidy up my room every day.","neat",""
372,"Did you know that my sister was b__n last night?","born",""
373,"Oh, that's great! How is she now? She's just a l___e baby, but she's healthy and cute.","little",""
374,"I have a great idea for a game we can play today. Oh yeah? I'm c___s! What game are you thinking of?","curious",""
375,"Let's play h__e a__d-s__k!","hide-and-seek",""
376,"Hey. I saw something interesting at the park today. Really? I'm c___s. Tell me about it.","curious",""
377,"Well, there was a l___e kitten. How cute! How did it look? It looked a bit scared. I tried to let it know I am a kind person, and f___y, it played with me.","little",""
378,"Well, there was a little kitten. How cute! How did it look? It looked a bit scared. I tried to let it know I am a kind person, and f___y, it played with me.","finally",""
379,"We put one more light in our bedroom because it was too d__k.","dark",""
380,"At night, I enjoy watching the l___t stars shining in the sky.","light",""
381,"The lights in this room are too b___t. I can't open my eyes.","bright",""
382,"Last weekend, Troy went fishing and brought many f___h fish home for dinner.","fresh",""
383,"The short trees in this part of the forest are still very y___g because there was a fire here five years ago.","young",""
384,"It's getting d__k. We should go home now, or our parents will be worried.","dark",""
385,"My mom is getting o__d. I can tell from her gray hair. I must do more housework for her.","old",""
386,"Nick looks like a high school student, but he is actually a teacher. He looks y___g for his age.","young",""
387,"The bread smells so great. It is f___h out of the oven.","fresh",""
388,"My sister is a two-year-old girl. She is too y___g, so she doesn't go to school.","young",""
389,"The kitchen is d___r t__n the living room.","darker than",""
390,"The woman is s___r t__n Dennis.","stronger than",""
391,"The ring is c___r t__n the necklace.","cheaper than",""
392,"The plane is f___r t__n the ship.","faster than",""
393,"Maria is y___r t__n Elvin.","younger than",""
394,"The classroom 101 is n___r t__n the classroom 103.","neater than",""
395,"James is t___r t__n Ben right now.","taller than",""
